0.200625	2.642670	ref_001
3.290270	7.462250	ref_002
8.398120	10.741100	ref_003
11.607700	14.849400	ref_004
16.007000	19.868400	ref_005
20.797700	23.921200	ref_006
24.641700	26.885800	ref_007
27.621500	31.517200	ref_008
32.234400	34.706600	ref_009
35.348600	39.133600	ref_010
39.934700	43.308200	ref_011
44.205400	48.452900	ref_012
49.190100	52.892000	ref_013
53.708500	56.516300	ref_014
57.205600	59.467600	ref_015
60.116600	63.578500	ref_016
64.181300	67.097600	ref_017
68.064200	71.340000	ref_018
72.177700	75.578700	ref_019
76.218600	79.124100	ref_020
80.417900	82.899100	ref_021
83.862400	87.470700	ref_022
88.385000	91.391400	ref_023
92.308400	95.451100	ref_024
96.356700	99.190700	ref_025
100.371000	100.970000	word_01
101.665000	102.260000	word_02
102.926000	103.437000	word_03
104.122000	104.744000	word_04
105.406000	105.991000	word_05
106.774000	107.281000	word_06
107.845000	108.512000	word_07
109.169000	109.699000	word_08
110.348000	110.866000	word_09
111.518000	112.016000	word_10
112.682000	113.217000	word_11
113.709000	114.456000	word_12
115.058000	115.587000	word_13
116.156000	116.850000	word_14
117.602000	118.169000	word_15
118.787000	119.465000	word_16
120.111000	120.667000	word_17
121.398000	122.077000	word_18
122.780000	123.302000	word_19
123.964000	124.635000	word_20
125.263000	125.821000	word_21
126.493000	127.099000	word_22
127.833000	128.350000	word_23
129.113000	129.652000	word_24
130.286000	130.968000	word_25
131.624000	132.123000	word_26
132.836000	133.452000	word_27
133.968000	134.651000	word_28
135.237000	135.714000	word_29
136.516000	137.207000	word_30
137.820000	138.316000	word_31
138.879000	139.528000	word_32
140.190000	140.847000	word_33
141.360000	141.961000	word_34
142.651000	143.256000	word_35
143.877000	144.480000	word_36
145.181000	145.761000	word_37
146.289000	146.903000	word_38
147.502000	148.249000	word_39
148.756000	149.331000	word_40
149.948000	150.586000	word_41
151.173000	151.678000	word_42
152.306000	152.948000	word_43
